fecha,apertura,maximo,minimo,cierre,volumen,openint
"2006-09-25","","","","373","","0"
"2006-09-26","","","","353","","0"
"2006-09-27","","","","352","","0"
"2006-09-28","","","","340","","0"
"2006-09-29","","","","342","","0"
"2006-10-02","","","","337","","0"
"2006-10-03","","","","346","","0"
"2006-10-04","","","","342","","0"
"2006-10-05","","","","325","","0"
"2006-10-06","","","","322","","0"
"2006-10-09","","","","322","","0"
"2006-10-10","","","","314","","0"
"2006-10-11","","","","315","","0"
"2006-10-12","","","","301","","0"
"2006-10-13","","","","289","","0"
"2006-10-16","","","","284","","0"
"2006-10-17","","","","293","","0"
"2006-10-18","","","","288","","0"
"2006-10-19","","","","285","","0"
"2006-10-20","","","","289","","0"
"2006-10-23","","","","287","","0"
"2006-10-24","","","","288","","0"
"2006-10-25","","","","284","","0"
"2006-10-26","","","","280","","0"
"2006-10-27","","","","283","","0"
"2006-10-30","","","","290","","0"
"2006-10-31","","","","294","","0"
"2006-11-01","","","","294","","0"
"2006-11-02","","","","289","","0"
"2006-11-03","","","","278","","0"
"2006-11-06","","","","279","","0"
"2006-11-07","","","","286","","0"
"2006-11-08","","","","287","","0"
"2006-11-09","","","","291","","0"
"2006-11-10","","","","297","","0"
"2006-11-13","","","","285","","0"
"2006-11-14","","","","288","","0"
"2006-11-15","","","","282","","0"
"2006-11-16","","","","281","","0"
"2006-11-17","","","","290","","0"
"2006-11-19","","","","290","","0"
"2006-11-20","","","","290","","0"
"2006-11-21","","","","295","","0"
"2006-11-22","","","","297","","0"
"2006-11-23","","","","297","","0"
"2006-11-24","","","","299","","0"
"2006-11-27","","","","309","","0"
"2006-11-28","","","","310","","0"
"2006-11-29","","","","298","","0"
"2006-11-30","","","","298","","0"
"2006-12-01","","","","306","","0"
"2006-12-04","","","","299","","0"
"2006-12-05","","","","293","","0"
"2006-12-06","","","","285","","0"
"2006-12-07","","","","277","","0"
"2006-12-08","","","","263","","0"
"2006-12-11","","","","255","","0"
"2006-12-12","","","","253","","0"
"2006-12-13","","","","247","","0"
"2006-12-14","","","","242","","0"
"2006-12-15","","","","240","","0"
"2006-12-18","","","","240","","0"
"2006-12-19","","","","235","","0"
"2006-12-20","","","","229","","0"
"2006-12-21","","","","228","","0"
"2006-12-22","","","","230","","0"
"2006-12-26","","","","232","","0"
"2006-12-27","","","","223","","0"
"2006-12-28","","","","216","","0"
"2006-12-29","","","","216","","0"
"2007-01-02","","","","219","","0"
"2007-01-03","","","","205","","0"
"2007-01-04","","","","217","","0"
"2007-01-05","","","","224","","0"
"2007-01-08","","","","221","","0"
"2007-01-09","","","","229","","0"
"2007-01-10","","","","225","","0"
"2007-01-11","","","","214","","0"
"2007-01-12","","","","207","","0"
"2007-01-15","","","","207","","0"
"2007-01-16","","","","203","","0"
"2007-01-17","","","","193","","0"
"2007-01-18","","","","195","","0"
"2007-01-19","","","","192","","0"
"2007-01-22","","","","195","","0"
"2007-01-23","","","","190","","0"
"2007-01-24","","","","190","","0"
"2007-01-25","","","","186","","0"
"2007-01-26","","","","185","","0"
"2007-01-29","","","","185","","0"
"2007-01-30","","","","185","","0"
"2007-01-31","","","","193","","0"
"2007-02-01","","","","185","","0"
"2007-02-02","","","","188","","0"
"2007-02-05","","","","190","","0"
"2007-02-06","","","","192","","0"
"2007-02-07","","","","204","","0"
"2007-02-08","","","","214","","0"
"2007-02-09","","","","218","","0"
"2007-02-12","","","","216","","0"
"2007-02-13","","","","206","","0"
"2007-02-14","","","","205","","0"
"2007-02-15","","","","207","","0"
"2007-02-16","","","","210","","0"
"2007-02-19","","","","210","","0"
"2007-02-20","","","","208","","0"
"2007-02-21","","","","207","","0"
"2007-02-22","","","","202","","0"
"2007-02-23","","","","209","","0"
"2007-02-26","","","","214","","0"
"2007-02-27","","","","239","","0"
"2007-02-28","","","","228","","0"
"2007-03-01","","","","228","","0"
"2007-03-02","","","","237","","0"
"2007-03-05","","","","240","","0"
"2007-03-06","","","","234","","0"
"2007-03-07","","","","236","","0"
"2007-03-08","","","","230","","0"
"2007-03-09","","","","217","","0"
"2007-03-12","","","","218","","0"
"2007-03-13","","","","227","","0"
"2007-03-14","","","","220","","0"
"2007-03-15","","","","220","","0"
"2007-03-16","","","","221","","0"
"2007-03-19","","","","218","","0"
"2007-03-20","","","","220","","0"
"2007-03-21","","","","217","","0"
"2007-03-22","","","","208","","0"
"2007-03-23","","","","209","","0"
"2007-03-26","","","","211","","0"
"2007-03-27","","","","209","","0"
"2007-03-28","","","","208","","0"
"2007-03-29","","","","209","","0"
"2007-03-30","","","","204","","0"
"2007-04-02","","","","205","","0"
"2007-04-03","","","","203","","0"
"2007-04-04","","","","202","","0"
"2007-04-05","","","","202","","0"
"2007-04-09","","","","198","","0"
"2007-04-10","","","","201","","0"
"2007-04-11","","","","203","","0"
"2007-04-12","","","","216","","0"
"2007-04-13","","","","234","","0"
"2007-04-16","","","","238","","0"
"2007-04-17","","","","250","","0"
"2007-04-18","","","","255","","0"
"2007-04-19","","","","261","","0"
"2007-04-20","","","","256","","0"
"2007-04-23","","","","258","","0"
"2007-04-24","","","","260","","0"
"2007-04-25","","","","260","","0"
"2007-04-26","","","","263","","0"
"2007-04-27","","","","263","","0"
"2007-04-30","","","","272","","0"
"2007-05-01","","","","273","","0"
"2007-05-02","","","","273","","0"
"2007-05-03","","","","277","","0"
"2007-05-04","","","","287","","0"
"2007-05-07","","","","291","","0"
"2007-05-08","","","","288","","0"
"2007-05-09","","","","286","","0"
"2007-05-10","","","","288","","0"
"2007-05-11","","","","288","","0"
"2007-05-14","","","","290","","0"
"2007-05-15","","","","283","","0"
"2007-05-16","","","","274","","0"
"2007-05-17","","","","270","","0"
"2007-05-18","","","","269","","0"
"2007-05-21","","","","265","","0"
"2007-05-22","","","","263","","0"
"2007-05-23","","","","264","","0"
"2007-05-24","","","","276","","0"
"2007-05-25","","","","271","","0"
"2007-05-28","","","","271","","0"
"2007-05-29","","","","276","","0"
"2007-05-30","","","","281","","0"
"2007-05-31","","","","277","","0"
"2007-06-01","","","","271","","0"
"2007-06-04","","","","275","","0"
"2007-06-05","","","","274","","0"
"2007-06-06","","","","286","","0"
"2007-06-07","","","","290","","0"
"2007-06-08","","","","292","","0"
"2007-06-11","","","","292","","0"
"2007-06-12","","","","306","","0"
"2007-06-13","","","","310","","0"
"2007-06-14","","","","289","","0"
"2007-06-15","","","","275","","0"
"2007-06-18","","","","267","","0"
"2007-06-19","","","","267","","0"
"2007-06-20","","","","275","","0"
"2007-06-21","","","","280","","0"
"2007-06-22","","","","285","","0"
"2007-06-25","","","","303","","0"
"2007-06-26","","","","312","","0"
"2007-06-27","","","","323","","0"
"2007-06-28","","","","303","","0"
"2007-06-29","","","","325","","0"
"2007-07-02","","","","320","","0"
"2007-07-03","","","","318","","0"
"2007-07-04","","","","318","","0"
"2007-07-05","","","","317","","0"
"2007-07-06","","","","307","","0"
"2007-07-09","","","","308","","0"
"2007-07-10","","","","324","","0"
"2007-07-11","","","","319","","0"
"2007-07-12","","","","303","","0"
"2007-07-13","","","","313","","0"
"2007-07-16","","","","318","","0"
"2007-07-17","","","","322","","0"
"2007-07-18","","","","342","","0"
"2007-07-19","","","","331","","0"
"2007-07-20","","","","345","","0"
"2007-07-23","","","","355","","0"
"2007-07-24","","","","381","","0"
"2007-07-25","","","","401","","0"
"2007-07-26","","","","468","","0"
"2007-07-27","","","","471","","0"
"2007-07-30","","","","449","","0"
"2007-07-31","","","","449","","0"
"2007-08-01","","","","461","","0"
"2007-08-02","","","","461","","0"
"2007-08-03","","","","463","","0"
"2007-08-06","","","","473","","0"
"2007-08-07","","","","459","","0"
"2007-08-08","","","","403","","0"
"2007-08-09","","","","433","","0"
"2007-08-10","","","","427","","0"
"2007-08-13","","","","430","","0"
"2007-08-14","","","","460","","0"
"2007-08-15","","","","469","","0"
"2007-08-16","","","","517","","0"
"2007-08-17","","","","477","","0"
"2007-08-20","","","","492","","0"
"2007-08-21","","","","489","","0"
